"Time","Vmon.U1","Vmon.U2","Vmon.U3","Vmon.U4","Vmon.U5","Vmon.U6","Vmon.U7","Vmon.U8","Vmon.U9","Vmon.U10"
1604919309966,0.862122109375,0.862499375,0.86250046875,0.862471328125,0.8624103125,0.86230484375,0.8623565625,0.862671796875,0.86211140625,0.862530625
1604919323338,0.861493671875,0.86185375,0.86185609375,0.86182265625,0.8617625,0.861655625,0.861696171875,0.86201421875,0.861455703125,0.861872421875
1604919336692,0.86189328125,0.8622634375,0.862251875,0.86221609375,0.86216109375,0.8620484375,0.86210078125,0.862402265625,0.861845078125,0.862263671875
1604919350091,0.862191796875,0.862564765625,0.862559140625,0.862530234375,0.86246515625,0.86236546875,0.86240125,0.86272921875,0.8621621875,0.862587109375
1604919363460,0.86155359375,0.8619403125,0.86193125,0.861894453125,0.86184375,0.861735,0.86177125,0.862077265625,0.861535703125,0.86195390625
1604919376827,0.8617525,0.862134765625,0.862131875,0.862093515625,0.862041484375,0.861938359375,0.86196765625,0.862265625,0.86173015625,0.862143125
1604919390215,0.86237078125,0.862746328125,0.86274375,0.86271203125,0.862653125,0.862545859375,0.862585625,0.862906875,0.862352578125,0.862766640625
1604919403588,0.861710546875,0.862079453125,0.862080859375,0.862047421875,0.861987890625,0.861883515625,0.8619190625,0.86223625,0.861683984375,0.8621
1604919416906,0.861828515625,0.862194296875,0.86219734375,0.862160703125,0.862098203125,0.8619925,0.862034921875,0.86235015625,0.86179484375,0.86221203125
1604919430338,0.862229765625,0.862605234375,0.862611875,0.862576015625,0.862517109375,0.86241015625,0.86244671875,0.862765234375,0.86220859375,0.86263375
1604919443883,0.861703359375,0.86207046875,0.8620765625,0.862037265625,0.861986484375,0.861876484375,0.861917734375,0.862231171875,0.86168171875,0.862099609375
1604919457324,0.861853046875,0.862239765625,0.862233984375,0.86219640625,0.862141484375,0.862027734375,0.862079296875,0.862375390625,0.861836875,0.862252421875
1604919470718,0.86189453125,0.8622875,0.862280390625,0.862247109375,0.862202734375,0.86209546875,0.862133828125,0.8624353125,0.861899375,0.86231625
1604919484021,0.8618640625,0.86225328125,0.86225578125,0.86221703125,0.8621665625,0.8620615625,0.8620928125,0.8624021875,0.861865234375,0.8622809375
1604919497436,0.86180015625,0.862168671875,0.86216890625,0.862134765625,0.862073828125,0.861968359375,0.862003359375,0.862318828125,0.861763984375,0.862183671875
1604919510750,0.862143203125,0.862506875,0.86251140625,0.86248078125,0.86242359375,0.86231703125,0.862346640625,0.862670546875,0.862111796875,0.862530625
1604919524136,0.86185796875,0.862227109375,0.862228984375,0.86220171875,0.862145625,0.86203234375,0.86207328125,0.86239796875,0.861836484375,0.862259296875
1604919537539,0.861763359375,0.86214828125,0.8621440625,0.86211484375,0.8620659375,0.861950703125,0.86199359375,0.86229359375,0.86174921875,0.862166796875
1604919550933,0.862066640625,0.862439609375,0.862438046875,0.862409765625,0.862355546875,0.862244140625,0.862281171875,0.86261296875,0.862053046875,0.86246921875
1604919564301,0.861755234375,0.862121015625,0.8621265625,0.862089921875,0.862031875,0.86192703125,0.861967734375,0.862291484375,0.86172640625,0.8621428125
1604919577685,0.8616325,0.862013203125,0.862018515625,0.8619671875,0.861923515625,0.861814296875,0.86186484375,0.86216015625,0.8616215625,0.86203109375
1604919591035,0.862025078125,0.862413671875,0.86241640625,0.862370703125,0.86232515625,0.862218515625,0.8622696875,0.86256078125,0.86202359375,0.862437734375
1604919604418,0.86175296875,0.862118203125,0.8621246875,0.862091171875,0.862032578125,0.86193375,0.861982265625,0.8622971875,0.8617334375,0.8621625
1604919617847,0.861682109375,0.862048515625,0.862055859375,0.8620190625,0.86195796875,0.861855625,0.86190203125,0.862214453125,0.861656015625,0.86207328125
1604919631166,0.86210875,0.862475859375,0.862479609375,0.86244625,0.8623821875,0.86227671875,0.862326796875,0.86264046875,0.8620815625,0.862494921875
1604919644560,0.86199515625,0.862362421875,0.862363359375,0.86233171875,0.862273671875,0.86216953125,0.86221703125,0.86254125,0.8619796875,0.862399296875
1604919657927,0.861616640625,0.862003046875,0.861998359375,0.8619634375,0.8619125,0.86181265625,0.861854609375,0.86215875,0.861613046875,0.86202953125
1604919671326,0.86217953125,0.86255671875,0.862554375,0.862521953125,0.86245875,0.862349296875,0.862403046875,0.862715546875,0.862149609375,0.862569765625
1604919684736,0.862054296875,0.8624328125,0.8624346875,0.8624053125,0.862348125,0.86224328125,0.86228578125,0.86261078125,0.8620453125,0.86246171875
1604919698172,0.861384296875,0.861772109375,0.86176734375,0.86173578125,0.861684140625,0.8615778125,0.8616271875,0.86192078125,0.86138625,0.861795546875
1604919711584,0.86216546875,0.86254921875,0.86254796875,0.86251421875,0.862460234375,0.862353046875,0.86240296875,0.86268953125,0.862154140625,0.8625675
1604919724973,0.862199296875,0.862594296875,0.862595703125,0.862564453125,0.862511875,0.86240109375,0.862451015625,0.862745078125,0.862207265625,0.862628203125
1604919738446,0.86150921875,0.86189609375,0.861895546875,0.861859375,0.86180765625,0.86170625,0.861755390625,0.862050703125,0.86150328125,0.8619275
1604919751907,0.861876328125,0.862252265625,0.862259375,0.862215,0.862166796875,0.862056875,0.8621046875,0.8623946875,0.861858125,0.86227125
1604919765341,0.862405234375,0.862773125,0.8627784375,0.862743359375,0.8626871875,0.862580703125,0.8626321875,0.8629434375,0.86238578125,0.86280453125
1604919778717,0.86167734375,0.862042109375,0.862047421875,0.862014609375,0.861957421875,0.861854609375,0.8618978125,0.86221796875,0.861655390625,0.862071875
